               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,             0.10812,             0.54315,                   0,            0.019672,            0.041667,            0.010005,           0.0018965,             0.13019,             0.46415,                   0,           0.0022257,           0.0022257,            0.071126
                  39,             0.11012,              0.4831,                   0,            0.022869,            0.041667,            0.010231,           0.0024093,             0.11993,             0.52585,                   0,           0.0022408,           0.0022408,            0.070341
                  40,             0.10878,             0.52892,                   0,            0.039513,            0.067029,            0.017902,           0.0040141,              0.1143,             0.50589,                   0,           0.0022532,           0.0022532,            0.069553
                  41,             0.10543,              0.4854,                   0,            0.037199,            0.063406,            0.017309,           0.0037316,             0.11561,             0.52424,                   0,           0.0022631,           0.0022631,            0.068763
                  42,             0.11306,             0.39928,                   0,            0.032985,            0.068841,            0.017469,           0.0035119,             0.12778,             0.51234,                   0,           0.0022704,           0.0022704,             0.06797
                  43,             0.10658,             0.47905,                   0,            0.033253,            0.066614,            0.016625,           0.0034311,              0.1316,             0.54169,                   0,           0.0022751,           0.0022751,            0.067175
                  44,             0.10495,             0.43753,                   0,            0.061396,            0.096014,            0.027497,           0.0056773,             0.10854,             0.52722,                   0,           0.0022772,           0.0022772,            0.066377
                  45,             0.10791,             0.43372,                   0,            0.068281,              0.1087,            0.030352,           0.0058516,             0.11269,             0.50507,                   0,           0.0022769,           0.0022769,            0.065577
                  46,             0.10235,              0.4463,                   0,            0.024199,            0.052536,            0.012858,           0.0023674,             0.11815,             0.52576,                   0,            0.002274,            0.002274,            0.064774
                  47,             0.10895,             0.47515,                   0,            0.042165,             0.07971,            0.020881,           0.0041325,             0.11738,             0.51849,                   0,           0.0022687,           0.0022687,            0.063969
                  48,             0.10538,             0.53235,                   0,            0.021527,            0.043478,            0.010512,           0.0018652,             0.12512,             0.48416,                   0,            0.002261,            0.002261,            0.063161
                  49,             0.10381,             0.54493,                   0,            0.010881,            0.009058,           0.0029882,          0.00059737,             0.11254,             0.57616,                   0,           0.0022509,           0.0022509,            0.062351
                  50,             0.10834,             0.43741,                   0,            0.051192,             0.11051,            0.030007,           0.0068614,             0.10112,             0.60326,                   0,           0.0022385,           0.0022385,            0.061539
                  51,             0.10615,             0.40282,                   0,            0.050466,             0.10507,            0.027543,           0.0053319,              0.1062,             0.54552,                   0,           0.0022238,           0.0022238,            0.060724
                  52,             0.10951,             0.50262,                   0,            0.053374,             0.11594,            0.030234,           0.0060718,             0.11124,             0.51991,                   0,            0.002207,            0.002207,            0.059907
                  53,             0.10708,             0.47929,                   0,            0.040171,            0.086957,            0.022824,           0.0047968,             0.11095,             0.57978,                   0,            0.002188,            0.002188,            0.059088
                  54,             0.10566,             0.44386,                   0,            0.068769,             0.11594,            0.033973,           0.0067836,             0.10548,             0.56045,                   0,           0.0021669,           0.0021669,            0.058267
                  55,              0.1033,             0.47839,                   0,          0.00085447,           0.0018116,          0.00041752,          4.1752e-05,             0.14129,              3.4384,                   0,           0.0021438,           0.0021438,            0.057444
                  56,             0.10618,             0.61437,                   0,           0.0041667,            0.009058,           0.0021351,          0.00038048,             0.14022,             0.86665,                   0,           0.0021188,           0.0021188,            0.056619
                  57,             0.10567,              0.4317,                   0,           0.0033584,           0.0018116,          0.00084484,          0.00012749,             0.14087,              1.4645,                   0,            0.002092,            0.002092,            0.055792
                  58,            0.098848,             0.45097,                   0,           0.0042408,            0.009058,           0.0021027,          0.00033573,              0.1382,             0.94457,                   0,           0.0020634,           0.0020634,            0.054963
                  59,             0.10801,             0.40126,                   0,           0.0037051,           0.0072464,           0.0016806,          0.00025168,             0.13333,             0.80359,                   0,           0.0020331,           0.0020331,            0.054133
                  60,             0.10844,             0.46333,                   0,          0.00091356,           0.0018116,          0.00041782,          8.3564e-05,             0.13983,              2.5498,                   0,           0.0020013,           0.0020013,            0.053301
                  61,               0.108,              0.5092,                   0,          0.00085487,           0.0018116,          0.00041753,          4.1753e-05,             0.13911,              1.7224,                   0,            0.001968,            0.001968,            0.052468
                  62,             0.10809,             0.46718,                   0,           0.0019855,           0.0036232,          0.00083793,          0.00012566,             0.12771,             0.88969,                   0,           0.0019333,           0.0019333,            0.051633
                  63,              0.1015,             0.57215,                   0,           0.0025791,           0.0054348,           0.0012572,          0.00033511,             0.10673,             0.86991,                   0,           0.0018973,           0.0018973,            0.050797
                  64,             0.10592,             0.47054,                   0,            0.049408,             0.10688,            0.027555,           0.0056869,            0.099539,             0.67904,                   0,           0.0018601,           0.0018601,             0.04996
                  65,             0.10392,             0.43224,                   0,            0.058579,              0.1087,            0.032607,           0.0065183,             0.10039,             0.64411,                   0,           0.0018219,           0.0018219,            0.049122
                  66,             0.10524,             0.42514,                   0,            0.048783,            0.094203,            0.025337,           0.0059546,              0.1021,             0.62664,                   0,           0.0017827,           0.0017827,            0.048283
                  67,             0.10513,             0.38626,                   0,            0.045319,            0.086957,            0.022426,           0.0047205,             0.10562,             0.58847,                   0,           0.0017427,           0.0017427,            0.047443
                  68,             0.10513,             0.45545,                   0,            0.048253,             0.07971,            0.024175,           0.0043808,             0.11007,             0.53073,                   0,           0.0017019,           0.0017019,            0.046602
                  69,             0.10867,             0.44955,                   0,            0.035021,            0.076087,            0.018833,           0.0033466,             0.11381,             0.51144,                   0,           0.0016606,           0.0016606,            0.045761
                  70,              0.1052,             0.42524,                   0,            0.026667,            0.057971,            0.014123,           0.0033864,             0.11687,             0.50706,                   0,           0.0016188,           0.0016188,            0.044919
                  71,             0.10904,             0.48744,                   0,            0.024167,            0.052536,            0.012729,           0.0025482,             0.11742,             0.52652,                   0,           0.0015766,           0.0015766,            0.044077
                  72,             0.10014,             0.47067,                   0,            0.026667,            0.057971,            0.014128,           0.0025608,              0.1147,             0.54192,                   0,           0.0015342,           0.0015342,            0.043234
                  73,             0.10484,             0.42445,                   0,            0.037598,            0.081522,            0.021235,           0.0036492,             0.11231,             0.54897,                   0,           0.0014917,           0.0014917,            0.042392
                  74,             0.10519,             0.49152,                   0,            0.039167,            0.081522,            0.021637,           0.0041787,             0.11104,             0.54847,                   0,           0.0014493,           0.0014493,            0.041549
                  75,              0.1008,             0.36726,                   0,            0.034118,            0.070652,            0.018642,           0.0031397,             0.11223,             0.54463,                   0,            0.001407,            0.001407,            0.040707
                  76,             0.10232,             0.45014,                   0,             0.02986,            0.061334,            0.016295,           0.0029255,             0.11176,             0.55525,                   0,           0.0013651,           0.0013651,            0.039865
                  77,            0.097624,             0.37546,                   0,            0.032558,            0.070652,            0.018662,           0.0035833,             0.11079,             0.56489,                   0,           0.0013236,           0.0013236,            0.039024
                  78,             0.10741,             0.42887,                   0,            0.048481,            0.086957,            0.024775,           0.0044467,             0.11006,             0.54285,                   0,           0.0012826,           0.0012826,            0.038183
                  79,             0.10638,             0.40551,                   0,             0.04558,            0.096014,            0.025466,           0.0045978,             0.11005,             0.54291,                   0,           0.0012424,           0.0012424,            0.037342
                  80,              0.1062,              0.4083,                   0,            0.033792,            0.052536,            0.015943,           0.0024954,             0.11067,             0.56744,                   0,            0.001203,            0.001203,            0.036503
                  81,             0.10677,              0.4308,                   0,            0.043192,            0.081522,            0.020972,           0.0034139,             0.10648,             0.58745,                   0,           0.0011647,           0.0011647,            0.035665
                  82,             0.10273,             0.48295,                   0,            0.021423,            0.036232,           0.0093486,           0.0015405,             0.10727,             0.63342,                   0,           0.0011274,           0.0011274,            0.034827
                  83,             0.10033,             0.43433,                   0,            0.035664,            0.074275,            0.018645,           0.0035747,             0.10864,             0.58309,                   0,           0.0010915,           0.0010915,            0.033991
                  84,             0.10297,             0.42882,                   0,            0.035664,            0.074275,            0.018645,           0.0035747,             0.10864,             0.58292,                   0,           0.0010569,           0.0010569,            0.033157
                  85,             0.10195,              0.4424,                   0,            0.029869,            0.063406,            0.015646,           0.0030585,             0.10958,             0.57037,                   0,            0.001024,            0.001024,            0.032324
                  86,             0.10843,             0.46011,                   0,            0.021831,            0.047101,            0.011353,           0.0020706,             0.10933,             0.60941,                   0,          0.00099265,          0.00099265,            0.031493
                  87,             0.10062,             0.59374,                   0,            0.019029,            0.039855,           0.0095711,           0.0021093,              0.1094,             0.61505,                   0,          0.00096318,          0.00096318,            0.030663
                  88,             0.10479,             0.41979,                   0,            0.016794,             0.03442,           0.0082399,           0.0018472,             0.10721,             0.64937,                   0,          0.00093568,          0.00093568,            0.029836
                  89,             0.10537,             0.37712,                   0,            0.023668,            0.050725,            0.012299,           0.0029102,             0.10689,             0.63759,                   0,          0.00091028,          0.00091028,             0.02901
                  90,             0.10345,             0.51491,                   0,            0.027639,            0.056159,             0.01417,           0.0031456,             0.10623,             0.65299,                   0,          0.00088712,          0.00088712,            0.028187
                  91,             0.10584,             0.46295,                   0,            0.027639,            0.056159,             0.01417,           0.0031456,             0.10623,             0.65284,                   0,          0.00086633,          0.00086633,            0.027366
                  92,             0.10376,             0.49172,                   0,            0.044448,            0.076087,            0.021384,           0.0045155,             0.10545,             0.64437,                   0,          0.00084804,          0.00084804,            0.026548
                  93,             0.10814,             0.41008,                   0,            0.038832,            0.074275,            0.019519,           0.0037753,             0.10712,             0.63647,                   0,          0.00083239,          0.00083239,            0.025732
                  94,             0.10479,             0.45004,                   0,            0.066788,            0.074275,            0.027518,           0.0051437,             0.10548,             0.64111,                   0,           0.0008195,           0.0008195,            0.024919
                  95,             0.10616,             0.40931,                   0,            0.093521,            0.070652,            0.030229,            0.004758,             0.10884,             0.60111,                   0,          0.00080949,          0.00080949,            0.024109
                  96,             0.10451,             0.40513,                   0,            0.093521,            0.070652,            0.030229,            0.004758,             0.10884,             0.60145,                   0,           0.0008025,           0.0008025,            0.023302
                  97,            0.097721,             0.47848,                   0,             0.10017,            0.074275,            0.030941,           0.0053343,             0.10849,             0.60066,                   0,          0.00079864,          0.00079864,            0.022499
                  98,               0.102,             0.52707,                   0,            0.094639,             0.11232,            0.040443,           0.0065698,             0.10559,             0.60675,                   0,          0.00079802,          0.00079802,            0.021698
                  99,             0.10758,             0.41322,                   0,            0.062118,             0.10507,            0.033546,           0.0057694,             0.10622,             0.62619,                   0,          0.00080077,          0.00080077,            0.020901
